province,lon,lat,世界遗产,公园,公园内部设施,公园广场,动物园,回教寺,国家级景点,城市广场,寺庙道观,教堂,旅游景点,植物园,水族馆,海滩,省级景点,红色景区,纪念馆,观景点,风景名胜
安徽省,117.283,31.8612,1,951,0,55,23,16,29,522,298,257,2246,31,69,15,13,83,243,10,463
湖北省,114.3124,30.5843,2,757,0,36,3,325,91,611,1483,129,3098,41,74,19,32,56,228,106,1096
湖南省,112.9826,28.1941,2,1513,0,105,24,316,252,1685,4219,206,5285,81,91,10,60,19,262,162,2445
江苏省,118.7918,32.0415,2,1236,0,42,20,193,127,1153,1989,428,3630,55,72,10,70,40,258,29,1616
江西省,115.8921,28.6835,12,2762,1,122,46,138,160,2451,2321,776,7799,126,191,42,66,40,749,36,2390
青海省,101.7789,36.6232,2,1042,0,41,10,118,103,977,2878,154,3976,28,123,12,29,15,318,65,1918
上海市,121.4737,31.2304,0,1044,0,60,15,135,131,1033,1883,198,4087,71,61,13,64,50,304,37,1691
四川省,104.0665,30.5723,0,1017,0,59,17,194,104,1021,2709,146,4518,49,97,12,60,33,353,51,2482
西藏自治区,91.1136,29.6603,2,55,0,3,1,47,13,70,429,1,444,3,4,,3,3,29,22,240
云南省,102.7123,25.0463,2,963,1,56,17,60,78,698,1391,102,2337,31,65,5,25,12,140,62,1127
重庆市,106.504,29.5333,0,100,0,5,2,200,20,115,269,12,468,4,14,1,8,8,16,11,266
